hgnc_id,logFC,Pvalue
HUNK,0.44761595093056,2.83119455939311E-06
ISG15,1.30559779350066,2.94565155576985E-06
JUN,0.56887184643386,3.00828045620027E-06
MYC,1.40352822197317,3.07093622455619E-06
ZFP36,0.920105762469682,3.13516362626516E-06
TAF1D,0.475041623176168,3.14140487246495E-06
FLRT3,-0.325753440853791,3.26312553105253E-06
PTK2B,0.577080552855151,3.36485942420461E-06
AMOTL2,0.332898841645068,3.49148231603469E-06
TRIM38,0.482759837436409,3.49398441717601E-06
USP43,0.746841620988174,3.62619935138701E-06
CTTNBP2,-0.528733694741963,3.63378181008807E-06
PPP2R2B,0.804333613501618,4.13721313854754E-06
ATP8B4,-0.479002605382032,4.15442635234018E-06
MATN2,-0.375528018267257,4.31970951890747E-06
ARID4A,0.502447486800342,4.73561465905381E-06
DDX60L,1.125134372013,4.9194688718554E-06
DOCK6,0.397321799938471,5.09538575314354E-06
S100P,-2.18595067126915,5.14499649634686E-06
TREML2,-4.66461085767686,5.22672116478195E-06
ZNF433,1.00030270162083,5.26002880252223E-06
CGB3,-3.8800281179181,5.27769628244659E-06
RNF150,1.68981400403755,5.28330121739949E-06
GOLIM4,-0.29759925033027,5.35698934939296E-06
QTRT2,0.452598868666043,5.46492260591105E-06
STX1A,0.781085853335559,6.00016504369322E-06
SLC16A3,0.611897781825137,6.37074632123344E-06
PHLPP2,0.516145612877942,6.66618423818828E-06
PDGFB,0.560611745951371,7.10297240315127E-06
SLC16A6,1.67183286520731,7.11552013394335E-06
HOPX,-3.69017538859974,7.27487470849668E-06
KCNG1,0.496445916961762,7.28786129997718E-06
COL21A1,-0.89787350391204,7.86116932707707E-06
AOC1,-0.717056012640866,7.97099543932544E-06
PARP12,1.62984359436316,8.03687355871577E-06
CPM,-1.74731261804637,8.31962724423148E-06
HEXIM1,-0.35652530278211500,8.77277593785165E-06
ZNF649,0.573259311105217,8.87973877200855E-06
RAB11FIP4,-0.36564056347571,9.08001505535905E-06
SNHG17,0.521900745664228,9.1059988702433E-06
RNF6,0.449929463797829,9.352826845491E-06
UGCG,0.41612157866667,9.65631899262829E-06
PYGL,0.630363996923454,9.79376075465745E-06
ISYNA1,-0.241531288695986,9.81108602124025E-06
ID3,0.421190242110027,1.02667720385094E-05
STAT1,0.469815382695656,1.04202949971053E-05
BTN2A1,0.533585589071276,1.05748407571272E-05
PIP5K1A,0.343467748109642,1.06996365110961E-05
METTL24,-0.39280038320724,1.10798473285436E-05
USP27X,-0.485966161789132,1.15544906974688E-05
AEN,0.500488575234587,1.15734139908046E-05
ENSG00000254207,3.10926165593472,1.18165325546824E-05
HAND1,-1.09126568888721,1.18369472739739E-05
CSRNP1,0.498905774767644,1.18967827067883E-05
PRR9,-3.45778481730819,1.20998813369088E-05
NEAT1,0.378076396911567,1.22234306117297E-05
ZNF844,1.26087122483851,1.23958773985635E-05
SUSD2,-1.06980673374572,1.30866309745075E-05
CHGA,0.690454986605794,1.32315945509333E-05
CDC42EP1,0.492356586949434,1.32560731053207E-05
PLAUR,0.658098783388135,1.33847880120583E-05
RIOK3,0.426561661069752,1.38489668920232E-05
SFN,0.537839000649062,1.39469500211945E-05
FOXO6,-0.661783045745904,1.44418776267694E-05
SYBU,0.677666073134289,1.45098823239626E-05
IFIT1,2.13733181900049,1.51791145496872E-05
FOXN2,0.569003415519692,1.58103578509981E-05
ETV3,0.347152410905338,1.61518904543804E-05
OAS1,1.80092053785333,1.63555189730504E-05
RYBP,0.359294709193154,1.65076217297397E-05
SIK1,0.525338394880512,1.66261902743558E-05
DACH1,-0.435420076726083,1.6786110811504E-05
DYNC1I1,-0.661317802663211,1.70873799039205E-05
HIVEP3,0.616381783588098,1.7124039229199E-05
PLAU,0.393677818456823,1.74816978002461E-05
BRINP1,-0.685254357946328,1.7542393599038E-05
ELF3,0.31515155996457,1.7610777837737E-05
DOC2B,-1.40639680316731,1.76303616943293E-05
BMP2,0.563547797827645,1.80720521087398E-05
CDC14A,0.675485848099683,1.86706413935738E-05
TWNK,0.435904621871635,1.96237919143201E-05
CTSV,-0.287702326286031,2.13892561628125E-05
IWS1,0.308872515200843,2.16716791106402E-05
MSX2,-0.336509529967486,2.17573312151196E-05
SLU7,0.403284935488814,2.20092093061076E-05
TREM1,-3.91976836043743,2.22090214908423E-05
PLAC4,-2.40044238588782,2.27861902885307E-05
FSD1L,1.17540869677527,2.29787830047035E-05
SLC22A15,1.06519628728769,2.31204865852107E-05
C2orf72,-1.74910899661242,2.34843742146277E-05
VAV3,-0.44941262375966,2.41549252375108E-05
CGB8,-2.70206483322206,2.61059157143755E-05
B3GALT5-AS1,-0.706583564783133,2.62655668635393E-05
AIF1L,-0.303436994664561,2.66309012336149E-05
SLC16A9,0.530527679067121,2.68757012327188E-05
ARHGAP10,0.325501126056691,2.69168631089841E-05
SOX12,-0.358662222514743,2.72071022473931E-05
EEF2,-0.210827725775694,2.76533949348975E-05
RHBDL3,-0.949866676374878,2.77316137669349E-05
PTPN3,0.479719030784193,2.81937320077409E-05
SESN3,-0.369539369020313,2.90903874024879E-05
OAS2,1.79552031739736,2.94421312696394E-05
CRHR2,-1.03901056622752,2.95953123190841E-05
AJUBA,0.275612756062316,2.99918857156747E-05
PKDCC,-0.320900354326509,3.02557366389536E-05
HTRA4,-3.64078072068502,3.03035859085779E-05
TUBB6,0.299375357475505,3.04646611149644E-05
CYP24A1,0.557081927665001,3.0474934666109E-05
CTSZ,-0.325895602522537,3.05106201804792E-05
EHD4,0.343939090117515,3.06287300495402E-05
DDX60,1.31155776950079,3.10169057067718E-05
SESN1,-0.381070394586836,3.11212470992848E-05
MARCHF7,0.312580372401658,3.15805001321246E-05
PDLIM5,0.372237875234388,3.18362597195549E-05
ENSG00000290920,-0.428180574155959,3.19561408798398E-05
CCNYL1,0.428462481361981,3.28507108881763E-05
ULK1,-0.321632616076637,3.34478724314797E-05
UTP4,0.350025238086749,3.36062091638385E-05
COL6A6,-0.645524145377097,3.37328011597374E-05
SOWAHA,-0.481838378824413,3.37650118988935E-05
AGFG1,0.330260954398752,3.38230173533355E-05
TSHZ1,-0.38630180128854,3.39238715539515E-05
PRXL2A,-0.240038091254485,3.39794513418241E-05
FBN1,-0.729584415112362,3.53467495629992E-05
LIMA1,0.298491546025024,3.54379155415024E-05
MAPRE2,0.480730251277569,3.57298855177561E-05
CHMP1B,-0.316585197893803,3.5785959811953E-05
RAD23B,0.233239303653328,3.58011776192952E-05
SCNN1A,0.296431250731898,3.66970352473304E-05
LGALS16,-3.31613645729663,3.79829524956565E-05
FLNC,0.436945908626832,3.92340432453061E-05
LPAR3,-0.519245363931076,3.94912602546181E-05
PABIR2,0.291578196876728,4.0441891177598E-05
RNF19A,0.370459228162652,4.25008500488193E-05
STK32A,2.27550414442872,4.28197257553721E-05
HABP4,0.356924391195477,4.36349560524468E-05
ADAMTS3,-0.500016949405126,4.38871208877625E-05
H1-0,-0.240690236257334,4.40311567879611E-05
NES,0.295532351118887,4.45967179461951E-05
SPRY2,0.71324001723786,4.47428936608297E-05
NECTIN3,-0.287568535817003,4.63621876494699E-05
IFIT5,1.1862366403028,4.64058237423197E-05
EPB41L1,0.313846980503556,4.65317175313129E-05
CGNL1,0.397408860684366,4.72399656620542E-05
AHDC1,-0.275735022841745,4.78251072428305E-05
KCTD10,0.35571048095206,4.87599996276291E-05
ZNF274,0.487489045692024,4.96836464349473E-05
DDX21,0.293493296154347,4.97352238212536E-05
SHROOM3,0.369892941275889,4.98860315066515E-05
PCSK5,-0.508581773121162,5.01180239394162E-05
PNPT1,0.352453769980658,5.04285288427534E-05
COL27A1,-0.43915441307754,5.31088465633404E-05
NET1,0.33004883777607,5.39553763236159E-05
NFATC4,-0.27496128015226,5.40806893035727E-05
CXCL16,0.593746976061518,5.46484319163492E-05
ZNF671,0.704513504433497,5.54967733773932E-05
LDOC1,-0.349659792298629,5.55967801160041E-05
SLITRK6,-0.66646259129009,5.61005471672544E-05
SEMA3F,-0.282469730096946,5.63375047805299E-05
CNN3,0.276306321714375,5.67225460983752E-05
WFIKKN1,-0.407651364117645,5.81288041694613E-05
DCN,-1.02032576476918,5.90187287679012E-05
GAS1,-0.317222779151186,6.0165746566175E-05
ETS1,0.584999824044867,6.03117425596689E-05
KRT17,0.659033594412181,6.03216175419241E-05
CAMK1G,-0.864992290916982,6.03277202496048E-05
BMF,-0.2904469327518,6.12855694937861E-05
CDON,-0.487864906872495,6.13256271744734E-05
LPCAT2,-0.44951625011016,6.22556902801689E-05
TUBB2A,0.629010593108243,6.30080565939685E-05
CBFB,0.325205906032362,6.44239765560427E-05
MAP3K1,0.433792351687363,6.45193703025406E-05
ZNF143,0.443992886983097,6.5394906327301E-05
CCN2,0.581123526585602,6.61508688193856E-05
DDX55,0.433854430488181,6.66498191839984E-05
TAP1,0.453163345703233,6.68406511669976E-05
KIN,0.434219994626305,6.77182661662264E-05
MAK16,0.47709799424675,6.79861899467898E-05
SYTL2,0.779905652549175,7.04935964429251E-05
DUSP6,0.791392293712562,7.13707732801943E-05
YTHDC1,0.280613773965839,7.15024024395862E-05
APOL6,1.82912178771655,7.19228477867973E-05
ELF2,0.346374138328361,7.22987288245602E-05
RNF8,0.393653775422479,7.38129053496148E-05
MUC4,0.576136114230947,7.40052227681706E-05
PLEKHG3,0.32847612025892,7.4496080817159E-05
RABGGTB,0.303529889796052,7.5120543562449E-05
ACP3,-0.393532326690939,7.58657002439843E-05
GABBR2,1.26932542543914,7.70097829090377E-05
NKD1,-0.567689155038726,7.80634743423006E-05
NOP58,0.28507697575207,7.83528376725169E-05
HJURP,0.346069601780083,7.96866777535352E-05
UPF2,0.300790904988441,7.97347856558023E-05
SERTM2,-1.07012807008066,8.20668190644466E-05
CPEB2,0.821418576735373,8.3152119558638E-05
ANKLE2,0.267192812514203,8.39616603583403E-05
PTGR3,-0.372869458439371,8.41352317624735E-05
WBP4,0.408356516896958,8.63789578193068E-05
WDR43,0.30273815550026,8.67483165105465E-05
SH3RF1,0.351249701742708,8.75570386323374E-05
SLC7A8,-0.448288163165394,8.81298600345704E-05
SNCA,0.476916174312806,8.97449732052706E-05
PNRC1,-0.365727564414351,9.0771454836536E-05
NOXA1,-0.374309384820376,9.07995689920295E-05
CTPS1,0.270637437237334,9.10392891375176E-05
ADGRL3,-0.503097669009573,9.10527035897146E-05
ZNF521,-0.369038593500454,9.19061834258821E-05
ZYX,0.294118459346181,9.25269111937254E-05
MASTL,0.366344485280938,9.38478309090861E-05
STRA6,-0.287628942276857,9.47386755172607E-05
PTBP2,0.463615306581331,9.52188972151507E-05
UPP1,0.506509669394132,9.52684593054592E-05
CLDN19,-0.752023596927016,9.53011209157297E-05
ENSG00000290596,2.7118449577709,9.53065815283267E-05
PBXIP1,-0.389370087434785,9.84738889902938E-05
PCF11,0.348314036810893,9.8479705778244E-05
OCLN,0.351226336231895,9.86352615629206E-05
GPC3,-0.347837051109344,1.0100054649655E-04
APCDD1,-0.353928697337603,1.0105688153388E-04
OTUD3,0.348034159429323,1.0140255672297E-04
ING4,-0.417452455078202,1.0204086733055E-04
YRDC,0.481201519940749,1.0240611408527E-04
TLE3,-0.237327733984944,1.025651581074E-04
ZNF484,0.656525037542638,1.0275229518522E-04
ZNFX1,0.459351752388339,1.0422939455016E-04
ITGB5,-0.243092372957761,1.044845803051E-04
CRTC2,0.360866521154749,1.058756852407E-04
LHFPL2,-0.3288792977632,1.0637791850609E-04
B3GALT5,-0.462179912658449,1.069024197499E-04
KIFC3,0.373708563650536,1.0726182917052E-04
THUMPD2,0.591396601900202,1.0770010046281E-04
KANSL2,0.449623407141917,1.0802822510632E-04
GPR155,-0.992384070036076,1.0838917416103E-04
TENM4,-0.585434185814663,1.0976784404154E-04
CEP95,0.391983230635913,1.1009409073568E-04
NEDD9,0.351335270851291,1.1128936369218E-04
RASGEF1B,0.89528797435818,1.1159513579533E-04
ZNF581,-0.376473805384021,1.1187708466569E-04
WBP1L,-0.251741387049711,1.1260158787268E-04
TAGLN,0.36975413759168,1.1317935221916E-04
WLS,-0.232130408080991,1.1418811011895E-04
XPO1,0.225469703357444,1.1580546847484E-04
ITPRID2,0.273037403971057,1.1778827839583E-04
FHL2,0.554887287142364,1.1875427729824E-04
SLC43A2,0.500732131226175,1.1886427797281E-04
ZNF823,0.578508917173167,1.1932833085121E-04
GCM1,-4.08152058913877,1.1939653415348E-04
LINC02593,-0.418613698139881,1.1943257691552E-04
PTH1R,-0.439566392018274,1.1973702119043E-04
GNL2,0.255798342491001,1.2118918328814E-04
BDKRB2,-0.464717963459782,1.2283400648028E-04
AOPEP,0.433128746287117,1.2379450801114E-04
TNFRSF19,-0.283335091752787,1.2401426375258E-04
ENC1,0.511886727266992,1.2486789917252E-04
TFE3,0.273857706172557,1.2523866483975E-04
FNBP4,0.270091667055653,1.2555673634901E-04
CLU,0.251975177449347,1.2562716790525E-04
BCAR1,0.27609946690869000,1.2779247750341E-04
SLC30A2,1.2198439385161,1.2792564926111E-04
NPNT,-0.313462268430293,1.2989511181923E-04
IGDCC3,-0.218657192933557,1.3109949421821E-04
VCL,0.303234623900134,1.3138502380912E-04
ZNF552,0.517293476715978,1.3336475780199E-04
SLC29A2,0.289308053526452,0.00013439533479073000
FADS3,-0.523802934352084,1.3453507153716E-04
DOK4,-0.343916386368866,1.3628305488258E-04
ALCAM,-0.233336363680431,1.3855548929496E-04
XPO6,0.259230242303961,1.3919118171944E-04
KCTD9,0.414815813260646,1.3979368315403E-04
PSAP,-0.185337262344866,1.4037160001632E-04
PHC3,0.385711105441943,1.4212583269243E-04
SCEL,1.35896673730855,1.4331578783071E-04
HAND2,-0.548760545720568,1.4404486120921E-04
TYRO3,-0.295701445586923,1.4434095702268E-04
GRPR,-0.517804445186284,1.4438904803857E-04
KIF26B,-0.665762077443823,1.4453128615721E-04
